BJD - 2454833, Corrected Flux
2066.822106735, 0.990427114,
2066.862970679, 0.995248029,
2066.883402651, 0.994713618,
2066.903834623, 0.992907236,
2066.924266694, 0.992228362,
2066.944698564, 0.991839110,
2066.965130435, 0.990904448,
2066.985562504, 0.991038859,
2067.005994474, 0.990167372,
2067.026426543, 0.989237653,
2067.046858412, 0.988803539,
2067.067290380, 1.004683055,
2067.087722448, 0.993010600,
2067.108154316, 0.989981890,
2067.128586284, 0.992321786,
2067.149018350, 0.992589220,
2067.169450317, 0.992952150,
2067.189882183, 0.999330555,
2067.210314249, 0.996919125,
2067.230746214, 0.999372453,
2067.251178079, 0.997619837,
2067.271610144, 0.996846701,
2067.292042109, 0.993851695,
2067.312473973, 0.994469852,
2067.353337999, 1.007865052,
2067.373769862, 1.008584922,
2067.394201925, 1.008505795,
2067.414633887, 1.010312274,
2067.435065749, 1.009087328,
2067.455497810, 1.010705883,
2067.475929771, 1.012252568,
2067.496361832, 1.010935029,
2067.516793692, 1.011423334,
2067.537225652, 1.012469407,
2067.557657712, 1.012498852,
2067.578089571, 1.013630830,
2067.598521530, 1.013128520,
2067.618953488, 1.014462034,
2067.639385546, 1.015315736,
2067.659817404, 1.014940528,
2067.680249361, 1.015421280,
2067.700681318, 1.014199675,
2067.721113274, 1.011773188,
2067.741545331, 1.008507753,
2067.761977187, 1.006400098,
2067.782409142, 1.002345389,
2067.802841197, 0.998158539,
2067.864137060, 1.012831738,
2067.884568914, 1.011681302,
2067.905000968, 1.011501108,
2067.925432921, 1.009574374,
2067.945864773, 1.009730048,
2067.966296825, 1.007610665,
2067.986728777, 1.006321869,
2068.007160729, 1.004463235,
2068.027592680, 1.005584225,
2068.048024631, 1.004238307,
2068.129752430, 1.000810816,
2068.150184479, 1.002232512,
2068.170616328, 1.001887784,
2068.191048276, 1.001909499,
2068.211480324, 1.001072364,
2068.231912171, 1.002220880,
2068.252344119, 1.001139835,
2068.272776165, 1.000914656,
2068.293208012, 1.000484292,
2068.313639958, 1.000876451,
2068.334072003, 1.000319278,
2068.354503849, 0.998753959,
2068.374935894, 0.997310784,
2068.395367739, 0.997160696,
2068.415799683, 0.996113375,
2068.436231726, 0.994618196,
2068.456663570, 0.994308421,
2068.477095513, 0.993348081,
2068.497527556, 0.992342817,
2068.517959399, 0.990691625,
2068.538391340, 0.991115921,
2068.558823382, 0.991173647,
2068.579255324, 0.991750407,
2068.599687165, 0.992649572,
2068.620119205, 0.991748460,
2068.640551146, 0.989672962,
2068.660982985, 0.989723966,
2068.681415025, 0.988643857,
2068.701846964, 0.989989635,
2068.722278803, 0.988655344,
2068.742710842, 0.989806447,
2068.763142780, 0.987591991,
2068.783574818, 0.987793425,
2068.844870629, 0.989070758,
2068.865302466, 0.990824569,
2068.885734401, 0.991487905,
2068.906166437, 0.992055217,
2068.926598272, 0.990430559,
2068.947030207, 0.990869013,
2068.967462242, 0.989244125,
2068.987894176, 0.988395282,
2069.008326010, 0.987306262,
2069.028758043, 0.988173974,
2069.049189976, 0.988288839,
2069.069621809, 0.987730753,
2069.090053842, 0.987846632,
2069.110485674, 0.987720424,
2069.130917606, 0.988731170,
2069.151349637, 0.989443036,
2069.171781568, 0.988762392,
2069.192213399, 0.989016396,
2069.212645429, 0.991953033,
2069.233077259, 0.992247499,
2069.253509289, 0.992175397,
2069.273941218, 0.991242589,
2069.314805076, 0.993993170,
2069.335237003, 0.995147468,
2069.355668832, 1.001502142,
2069.376100859, 1.000133319,
2069.396532786, 1.000900355,
2069.416964713, 1.002040169,
2069.437396639, 1.002260636,
2069.457828566, 1.003261186,
2069.478260491, 1.007194558,
2069.498692417, 1.007967288,
2069.519124342, 1.005831778,
2069.580420115, 1.017022628,
2069.600852038, 1.015415455,
2069.621284062, 1.013884619,
2069.641715885, 1.014360311,
2069.662147907, 1.012684411,
2069.682579829, 1.014562947,
2069.703011651, 1.012663748,
2069.723443673, 1.014559987,
2069.743875594, 1.014092526,
2069.764307415, 1.014303101,
2069.784739435, 1.015241850,
2069.805171356, 1.016444434,
2069.846035195, 1.016584855,
2069.866467014, 1.009339113,
2069.907330951, 1.002805194,
2069.927762869, 1.001914382,
2069.948194687, 1.000242071,
2069.968626704, 1.001380511,
2069.989058621, 1.000932375,
2070.009490438, 1.000392068,
2070.091218201, 1.014405716,
2070.111650116, 1.013919027,
2070.132082131, 1.013058561,
2070.152513945, 1.012674194,
2070.172945859, 1.010868281,
2070.193377872, 1.011261613,
2070.213809685, 1.010370061,
2070.234241598, 1.008052899,
2070.254673611, 1.004472287,
2070.275105423, 1.004856248,
2070.295537335, 1.003113270,
2070.315969346, 1.002472012,
2070.336401157, 1.002402028,
2070.377265078, 1.002294723,
2070.397696989, 1.003089212,
2070.418128798, 1.001091544,
2070.438560808, 1.001352426,
2070.458992717, 1.001420327,
2070.479424526, 0.997958689,
2070.540720450, 1.001946290,
2070.561152257, 1.006237060,
2070.581584064, 1.002696401,
2070.602016071, 1.002888577,
2070.622447977, 1.003141969,
2070.642879783, 0.999979949,
2070.663311789, 0.999522064,
2070.683743694, 0.997985503,
2070.704175499, 0.996663980,
2070.724607504, 0.996242635,
2070.745039408, 0.995697519,
2070.765471312, 0.999077094,
2070.785903216, 0.995060680,
2070.806335119, 0.996253622,
2070.826767022, 0.992460196,
2070.847198924, 0.995538965,
2070.867630826, 0.992009714,
2070.888062728, 0.990742878,
2070.908494730, 0.987208610,
2070.928926531, 0.983026396,
2070.949358532, 0.977879092,
2070.969790433, 0.977154726,
2071.031086132, 0.990228820,
2071.051517932, 0.990727053,
2071.071949930, 0.990313257,
2071.112813627, 0.989468314,
2071.133245625, 0.991111096,
2071.153677523, 0.989731787,
2071.174109320, 0.991031996,
2071.194541316, 0.990574743,
2071.214973213, 0.987113620,
2071.235405109, 0.985517048,
2071.296700796, 0.988716453,
2071.317132691, 0.989958481,
2071.337564585, 0.990794252,
2071.357996479, 0.998357818,
2071.378428373, 0.996451777,
2071.398860266, 0.995663886,
2071.419292260, 0.993755651,
2071.439724052, 0.995095496,
2071.460155945, 0.993629380,
2071.480587937, 0.994225747,
2071.501019729, 0.995200946,
2071.521451620, 0.998625992,
2071.541883611, 0.996887407,
2071.562315402, 0.997605464,
2071.582747293, 1.005229111,
2071.603179283, 1.002661577,
2071.623611073, 1.004539757,
2071.644042962, 1.006856774,
2071.664474951, 1.008402492,
2071.684906740, 1.031884656,
2071.725770617, 1.011350150,
2071.746202505, 1.014874789,
2071.766634392, 1.016848668,
2071.827930052, 1.013662474,
2071.848361939, 1.002128826,
2071.868793824, 1.006016587,
2071.889225810, 1.004684254,
2071.909657595, 1.007193794,
2071.930089480, 1.006472329,
2071.950521465, 1.004954967,
2071.970953249, 1.005325028,
2072.052680782, 1.008904260,
2072.073112665, 1.007892527,
2072.093544547, 1.010343763,
2072.134408310, 1.011422672,
2072.154840191, 1.011158455,
2072.175272072, 1.008553856,
2072.195703953, 1.006247072,
2072.216135833, 1.004046810,
2072.236567813, 1.004362155,
2072.256999693, 1.000628807,
2072.277431472, 0.999132407,
2072.297863451, 0.997346599,
2072.318295329, 0.996049294,
2072.338727108, 0.997722261,
2072.359159085, 1.008325893,
2072.379590963, 0.994552950,
2072.400022741, 0.994186316,
2072.420454717, 0.994115919,
2072.440886594, 0.994041887,
2072.461318371, 0.989808191,
2072.502182222, 1.000083815,
2072.522613997, 0.996959429,
2072.543045972, 0.997893611,
2072.583909721, 0.997566122,
2072.604341595, 0.996731765,
2072.624773469, 0.996434940,
2072.645205443, 0.996301085,
2072.665637216, 0.996013842,
2072.686069089, 0.995319527,
2072.706501061, 0.993908224,
2072.747364705, 1.011309330,
2072.767796676, 0.997932602,
2072.788228547, 0.995210823,
2072.808660318, 0.995354564,
2072.849524059, 0.993376612,
2072.869955929, 0.996209961,
2072.890387898, 0.995730729,
2072.910819667, 0.995933932,
2072.931251536, 0.995386440,
2072.951683505, 0.996802610,
2072.972115273, 0.996174972,
2072.992547141, 0.993536010,
2073.012979108, 0.993082018,
2073.033410876, 0.993277066,
2073.053842843, 0.992511854,
2073.074274709, 0.990633546,
2073.094706576, 0.989051574,
2073.115138442, 0.990219329,
2073.135570307, 0.989945213,
2073.176434038, 0.989290682,
2073.196865903, 0.990489287,
2073.258161495, 0.986601071,
2073.278593358, 0.988812617,
2073.299025321, 0.988553249,
2073.319457084, 0.987479393,
2073.339888946, 0.985667118,
2073.360320909, 0.992457464,
2073.380752671, 0.987637474,
2073.401184532, 0.986234274,
2073.421616393, 0.984242163,
2073.442048254, 0.981595877,
2073.462480215, 0.982362213,
2073.503343835, 0.983893555,
2073.523775795, 0.982993506,
2073.544207554, 0.982129571,
2073.564639413, 0.982132255,
2073.585071372, 0.983808400,
2073.605503230, 0.985791709,
2073.625934988, 0.986065945,
2073.646366946, 0.985406330,
2073.666798803, 0.987850729,
2073.687230560, 0.989887770,
2073.748526130, 0.998208992,
2073.768958086, 0.996542548,
2073.789389941, 0.997710772,
2073.830253651, 0.998281327,
2073.850685506, 0.997728842,
2073.871117460, 0.998532237,
2073.891549214, 1.000088847,
2073.911981068, 0.997308366,
2073.932413021, 1.000295588,
2073.993708580, 1.001642531,
2074.014140331, 1.005050416,
2074.034572183, 1.005306926,
2074.055004135, 1.004424318,
2074.075435986, 1.003869649,
2074.095867737, 1.002741080,
2074.116299687, 1.002073671,
2074.136731438, 1.001719296,
2074.157163288, 1.001955045,
2074.177595237, 1.002676368,
2074.238890784, 1.000901524,
2074.259322532, 1.000146992,
2074.279754381, 0.998633617,
2074.300186328, 1.000707465,
2074.320618076, 1.000962491,
2074.341050023, 0.999824111,
2074.361481870, 0.999697250,
2074.381913616, 0.998123578,
2074.402345563, 0.997990652,
2074.422777408, 0.996037186,
2074.443209254, 0.993760700,
2074.463641099, 0.992809703,
2074.484072944, 0.992144401,
2074.504504789, 0.992085522,
2074.524936633, 0.991614351,
2074.545368477, 0.989480823,
2074.565800321, 0.988270088,
2074.586232265, 0.989812349,
2074.606664008, 0.989251818,
2074.627095851, 0.989879699,
2074.647527793, 0.990171546,
2074.667959535, 0.992987818,
2074.708823319, 0.997319426,
2074.729255060, 0.995525570,
2074.749687001, 0.996415610,
2074.770118842, 0.997790603,
2074.790550582, 0.998441099,
2074.810982523, 0.997631152,
2074.831414362, 0.997181966,
2074.851846102, 0.996589249,
2074.872278041, 0.998287048,
2074.892709780, 0.997822742,
2074.913141618, 0.998333207,
2074.954005295, 1.003255149,
2074.974437132, 1.001061076,
2074.994869070, 1.003586721,
2075.015300907, 1.003192304,
2075.035732643, 1.004688745,
2075.056164580, 1.002918308,
2075.076596416, 1.004180511,
2075.117460087, 1.002201099,
2075.137891923, 1.001770897,
2075.158323857, 1.000693516,
2075.178755592, 0.999035880,
2075.199187427, 0.997646066,
2075.219619361, 1.005449115,
2075.240051094, 1.012209241,
2075.260482928, 1.004058801,
2075.280914861, 0.999477388,
2075.301346594, 0.997524544,
2075.321778426, 0.994573984,
2075.342210359, 0.991487706,
2075.362642091, 0.989711344,
2075.383073922, 0.986058879,
2075.403505854, 0.982770683,
2075.464801346, 0.983606745,
2075.485233176, 0.981883609,
2075.505664906, 0.981554112,
2075.526096835, 0.979211507,
2075.546528664, 0.977715749,
2075.587392322, 0.974756483,
2075.607824151, 0.973904450,
2075.628255978, 0.971599922,
2075.648687806, 0.974002967,
2075.709983288, 0.972954264,
2075.730415014, 0.987080664,
2075.750846941, 0.987275934,
2075.771278767, 0.979833475,
2075.791710492, 0.979521964,
2075.812142418, 0.979124514,
2075.832574243, 0.982619722,
2075.853006068, 0.986023613,
2075.873437892, 0.986827429,
2075.893869717, 0.986374381,
2075.955165187, 1.002618665,
2075.975597110, 0.997010796,
2075.996028933, 0.992919430,
2076.016460656, 0.992008163,
2076.036892578, 0.993005505,
2076.057324400, 0.992337509,
2076.077756121, 0.996366420,
2076.098188043, 0.999812349,
2076.118619863, 0.998304510,
2076.159483505, 1.000382992,
2076.179915325, 1.000290717,
2076.200347045, 1.001194194,
2076.220778964, 1.001652375,
2076.241210783, 0.998735735,
2076.261642602, 0.999045953,
2076.282074421, 0.998692951,
2076.302506239, 0.998946567,
2076.322938057, 1.000139240,
2076.343369875, 0.998046291,
2076.363801693, 0.997578731,
2076.384233510, 0.995722434,
2076.425097143, 0.999012363,
2076.445528960, 0.998654889,
2076.465960776, 0.998254712,
2076.486392592, 0.997051154,
2076.506824507, 0.995905333,
2076.527256222, 0.995348927,
2076.547688037, 0.994581239,
2076.568119952, 0.992463249,
2076.588551666, 0.995117894,
2076.608983480, 0.991326613,
2076.629415394, 0.991362598,
2076.670278920, 0.988140214,
2076.690710833, 0.992616695,
2076.711142546, 0.994002127,
2076.731574358, 0.994928178,
2076.752006270, 0.997687258,
2076.772437982, 0.995776763,
2076.792869893, 0.995946787,
2076.813301705, 0.997420365,
2076.833733515, 1.000955486,
2076.854165326, 0.997746222,
2076.874597136, 0.998343204,
2076.915460856, 1.007297959,
2076.935892565, 1.003818158,
2076.956324375, 1.002397334,
2076.976756284, 1.002976386,
2076.997187992, 1.004556792,
2077.017619800, 1.007218405,
2077.038051608, 1.008472973,
2077.058483416, 1.008670963,
2077.078915224, 1.005967075,
2077.099347031, 1.006996135,
2077.119778838, 1.007282118,
2077.140210544, 1.006409849,
2077.160642451, 1.007207196,
2077.181074257, 1.006233150,
2077.201506162, 1.007274267,
2077.221937868, 1.008644905,
2077.242369673, 1.007194910,
2077.262801578, 1.007585538,
2077.283233283, 1.004896517,
2077.303665087, 1.002857281,
2077.324096991, 0.995188733,
2077.344528795, 0.993828209,
2077.364960498, 0.995552190,
2077.426255907, 1.005848131,
2077.446687809, 1.001230830,
2077.467119612, 0.998714907,
2077.487551313, 0.997686773,
2077.507983215, 0.993859142,
2077.528415016, 0.993645533,
2077.548846717, 0.990884008,
2077.569278618, 0.990317560,
2077.589710418, 0.987744377,
2077.610142318, 0.988255071,
2077.671437717, 0.983736586,
2077.691869416, 0.980636253,
2077.712301215, 0.983169501,
2077.732733114, 0.981722595,
2077.753164812, 0.981019129,
2077.773596610, 0.979520514,
2077.794028407, 0.980133674,
2077.814460305, 0.979053310,
2077.834892002, 0.978392490,
2077.855323899, 0.978482228,
2077.937050983, 0.980557099,
2077.957482879, 0.982815368,
2077.977914674, 0.985103645,
2077.998346369, 0.985041397,
2078.018778263, 0.984979786,
2078.039210058, 0.985447831,
2078.059641752, 0.985366720,
2078.080073646, 0.986154003,
2078.100505439, 0.983382248,
2078.161800818, 0.987690031,
2078.182232610, 0.984121897,
2078.202664403, 0.985949106,
2078.223096194, 0.989563096,
2078.243527986, 0.989309085,
2078.263959777, 0.988842563,
2078.284391568, 0.990035807,
2078.325255250, 0.984804140,
2078.366118830, 0.996146270,
2078.406982309, 0.991564749,
2078.447845987, 0.980701858,
2078.529573040, 0.986115728,
2078.590868402, 0.979829838,
2078.672595647, 0.974244322,
2078.733891003, 0.978273511,
2078.774754573, 0.980687474,
2078.815618141, 0.987784805,
2078.836050025, 0.988776656,
2078.897345374, 0.990320521,
2078.938208840, 0.995904167,
2078.979072404, 0.995843695,
2078.999504185, 1.000258939,
2079.040367748, 1.002563338,
2079.060799529, 1.006933237,
2079.142526750, 1.004918605,
2079.162958529, 1.008316446,
2079.183390308, 1.011203552,
2079.224253866, 1.027156834,
2079.244685644, 1.018400161,
2079.285549101, 1.015377147,
2079.326412756, 1.014066311,
2079.346844433, 1.013380552,
2079.367276310, 1.014474754,
2079.387708087, 1.019515295,
2079.428571639, 1.015673737,
2079.449003415, 1.015043185,
2079.469435090, 1.014826421,
2079.489866966, 1.011095434,
2079.510298741, 1.010458822,
2079.530730516, 1.010930606,
2079.551162290, 1.008566237,
2079.571594065, 1.006555740,
2079.592025938, 1.005262448,
2079.632889386, 1.004490776,
2079.653321259, 0.999821579,
2079.673753032, 1.000398203,
2079.694184705, 0.995321517,
2079.714616577, 0.985925045,
2079.735048349, 0.984408803,
2079.755480021, 0.984911640,
2079.775911893, 0.983874515,
2079.796343664, 0.991065800,
2079.816775336, 1.002980364,
2079.878070648, 0.985620332,
2079.898502518, 0.985181537,
2079.918934288, 0.981583770,
2079.939365957, 0.980169754,
2079.959797827, 0.981854307,
2079.980229596, 0.982619210,
2080.000661365, 0.983348278,
2080.021093133, 0.981369027,
2080.041524902, 0.980220096,
2080.061956670, 0.980230057,
2080.123251973, 0.978500531,
2080.143683740, 0.981270601,
2080.164115506, 0.978462833,
2080.184547373, 0.979601781,
2080.204979039, 0.979034093,
2080.225410806, 0.976979617,
2080.245842671, 0.976686127,
2080.266274337, 0.977935974,
2080.286706102, 0.977515729,
2080.307137967, 0.977818618,
2080.368433261, 0.961240182,
2080.388864925, 0.970836479,
2080.409296789, 0.980004845,
2080.429728552, 0.987467016,
2080.450160215, 0.991982743,
2080.470592078, 0.985540802,
2080.491023841, 0.981040044,
2080.511455604, 0.979615863,
2080.552319128, 0.978605276,
2080.572750890, 0.981360797,
2080.593182651, 0.982811440,
2080.613614413, 0.982311169,
2080.634046174, 0.982233424,
2080.654478034, 0.985498130,
2080.674909695, 0.982649360,
2080.695341455, 0.982705309,
2080.715773215, 0.981614990,
2080.736204975, 0.980709109,
2080.756636634, 0.983240265,
2080.777068494, 0.986299564,
2080.797500253, 0.985842137,
2080.858795529, 0.995385698,
2080.879227386, 0.988615659,
2080.899659044, 0.986993217,
2080.920090802, 0.985446661,
2080.940522659, 0.985221485,
2080.960954316, 0.987076956,
2080.981386073, 0.990783164,
2081.001817930, 0.999808893,
2081.022249686, 1.004498251,
2081.042681342, 0.998948416,
2081.063113198, 0.997639813,
2081.083544953, 0.997332499,
2081.103976609, 0.998372911,
2081.124408464, 1.001488430,
2081.144840219, 1.002430663,
2081.165271873, 1.001647203,
2081.185703728, 1.001930808,
2081.206135482, 1.005059069,
2081.226567336, 1.003233562,
2081.246998989, 1.004775460,
2081.267430742, 1.006804185,
2081.287862596, 1.007074146,
2081.349157854, 1.009351033,
2081.369589506, 1.007613019,
2081.390021258, 1.007883582,
2081.410453009, 1.011069999,
2081.451316512, 1.011121108,
2081.471748263, 1.010101286,
2081.492180013, 1.009914507,
2081.512611764, 1.010732280,
2081.533043514, 1.009965206,
2081.553475264, 1.012103185,
2081.573907014, 1.010792697,
2081.594338863, 1.011600070,
2081.614770513, 1.009860132,
2081.635202362, 1.011053148,
2081.655634110, 1.009863401,
2081.676065759, 1.004462564,
2081.696497607, 0.996793643,
2081.716929355, 0.994553593,
2081.737361003, 1.002611230,
2081.757792851, 0.997786908,
2081.778224598, 1.001219303,
2081.839519839, 1.003026226,
2081.859951585, 0.999863646,
2081.880383331, 0.997357191,
2081.900815077, 0.997065600,
2081.921246823, 0.995971342,
2081.941678568, 0.997265922,
2081.962110313, 0.994411505,
2081.982542058, 0.993884777,
2082.002973803, 0.993765789,
2082.023405548, 0.994105574,
2082.043837392, 0.992260921,
2082.064269136, 0.989656704,
2082.084700780, 0.989007048,
2082.105132623, 0.988187019,
2082.125564266, 0.988624619,
2082.145996009, 0.984979000,
2082.166427852, 0.985646249,
2082.186859495, 0.983691827,
2082.207291237, 0.985604122,
2082.227723079, 0.985589018,
2082.248154721, 0.982848124,
2082.268586463, 0.982061250,
2082.329881687, 0.988655849,
2082.350313527, 0.982018893,
2082.370745168, 0.979946101,
2082.391176908, 0.997089386,
2082.411608748, 0.996771692,
2082.432040488, 0.998042582,
2082.452472227, 0.997129614,
2082.472903967, 0.997755511,
2082.493335706, 0.993672640,
2082.513767545, 0.990669351,
2082.534199183, 0.989280690,
2082.554630922, 0.988929957,
2082.575062760, 0.989423240,
2082.595494398, 0.993161006,
2082.636357973, 0.991983364,
2082.656789610, 0.991972627,
2082.677221347, 0.990884855,
2082.697653184, 0.991254647,
2082.718084821, 0.989660040,
2082.738516557, 0.989977280,
2082.758948393, 0.987961220,
2082.820243600, 0.997694963,
2082.840675235, 0.997767875,
2082.861107070, 0.998374929,
2082.881538805, 0.991817052,
2082.901970439, 0.992712614,
2082.922402274, 0.992260435,
2082.942834008, 0.991170090,
2082.963265641, 0.994152101,
2082.983697475, 0.993086873,
2083.004129208, 0.995343828,
2083.024560842, 0.998505246,
2083.044992674, 1.002347405,
2083.065424407, 1.002564962,
2083.085856040, 1.000904049,
2083.106287872, 1.001430628,
2083.126719604, 1.000373050,
2083.147151236, 1.021908594,
2083.167583067, 1.081034958,
2083.188014798, 1.042460112,
2083.208446630, 1.018784150,
2083.228878260, 1.008438223,
2083.249309991, 1.011532345,
2083.310605182, 1.018506689,
2083.331037011, 1.020784654,
2083.351468741, 1.020104635,
2083.371900370, 1.015045529,
2083.392332199, 1.015191017,
2083.412763928, 1.018076308,
2083.433195557, 1.018664129,
2083.453627385, 1.025440662,
2083.474059113, 1.027496386,
2083.494490741, 1.025069996,
2083.514922569, 1.023697450,
